group,coverage,average_promised,average_actual,average_lateness,average_earliness,expected_cost,sample_count,policy,quantile
8d79c8a04e42d722a75097ce5cbcf2ef,0.0,20.033267663397158,20.225625,0.19235733660284282,0.0,0.9617866830142141,1.0,q90,0.9
8d899e15a5925f097cca50faa49b15e3,1.0,14.85055436113416,2.0918634259259257,0.0,12.758690935208234,12.758690935208234,2.0,q90,0.9
8d956fec2e4337affcb520f56fd8cbfd,0.852112676056338,16.65896854483797,10.312606448878453,0.6874635819916857,7.033825677951195,10.471143587909623,142.0,q90,0.9
8daab2245ebdc277c51098d01c5ad8ef,0.9285714285714286,19.522748418431352,10.42044064153439,0.3707252157446437,9.473032992641608,11.326659071364826,14.0,q90,0.9
8dfbc5ff27df12f6cef751d3b9554222,1.0,19.045970426599062,14.099849537037038,0.0,4.946120889562025,4.946120889562025,1.0,q90,0.9
8e29d051f810eb22959ede205b462b9f,0.5,24.960221694336532,31.752569444444443,17.652297598897057,10.85994984878915,99.12143784327444,2.0,q90,0.9
8e2b3afb420011ef0c88c9d5f11ea526,0.8,16.99765757239882,9.935883101851852,1.0121510610073183,8.073925531554284,13.134680836590878,10.0,q90,0.9
8e34331b7eedd03be4e5d965c1956225,0.75,15.781300335093963,12.85935474537037,2.8193336415847297,5.741279231308321,19.837947439231968,4.0,q90,0.9
8e4f041ff58e7845456d3482524014b3,0.5,25.089915057965868,24.080474537037034,4.648350846370738,5.657791367299568,28.899545599153257,2.0,q90,0.9
8e6cc767478edae941d9bd9eb778d77a,1.0,25.645134818629728,18.220692515432102,0.0,7.42444230319763,7.42444230319763,6.0,q90,0.9
8e6d7754bc7e0f22c96d255ebda59eba,0.8157894736842105,19.115832633214193,15.885810032894732,2.042273542518371,5.272296142837822,15.483663855429677,76.0,q90,0.9
8e8a7ce9f2f970dc00e2acf6f6e199f6,0.7380952380952381,18.230687250038592,14.212244268077603,1.7127136437228236,5.731156625683814,14.29472484429793,42.0,q90,0.9
8ea394aed8138685abe1eb9f25e1021d,1.0,25.795286158834465,8.42357638888889,0.0,17.371709769945575,17.371709769945575,1.0,q90,0.9
8eb88b0acb3f90a717ad659221471fa7,1.0,20.02239797554972,10.080150462962964,0.0,9.942247512586755,9.942247512586755,1.0,q90,0.9
8ed8ea9a57c862f2c18c2fe41f601d56,1.0,22.925713878729532,8.578249878167643,0.0,14.34746400056189,14.34746400056189,19.0,q90,0.9
8f119a0aee85c0c8fc534629734e94fd,0.9047619047619048,16.713852790739136,9.36701774691358,0.24663537779453065,7.593470421620088,8.826647310592742,21.0,q90,0.9
8f2ce03f928b567e3d56181ae20ae952,0.7974683544303798,20.37795817043177,15.846392698077821,1.8841220720016354,6.4156875443555865,15.836297904363763,79.0,q90,0.9
8f54d64f28a993550aa7943f12572959,0.8571428571428571,23.89509507936976,13.489088955026457,0.0032644828496606643,10.409270607192967,10.425593021441271,7.0,q90,0.9
8f580d36c1e9d6fbce95283403c7d447,1.0,23.547042816885728,11.260256944444444,0.0,12.286785872441282,12.286785872441282,5.0,q90,0.9
